timestamp,user,event_type,ip
2025-08-23 03:30:28,alice,login_fail,192.168.0.14
2025-08-23 03:30:58,charlie,config_change,192.168.0.1
2025-08-23 03:31:28,charlie,login_success,192.168.0.16
2025-08-23 03:31:58,bob,login_fail,192.168.0.10
2025-08-23 03:32:28,david,config_change,192.168.0.3
2025-08-23 03:32:58,david,config_change,192.168.0.13
2025-08-23 03:33:28,charlie,config_change,192.168.0.14
2025-08-23 03:33:58,david,file_access,192.168.0.13
2025-08-23 03:34:28,david,login_fail,192.168.0.16
2025-08-23 03:34:58,alice,login_success,192.168.0.5
2025-08-23 03:35:28,charlie,login_fail,192.168.0.7
2025-08-23 03:35:58,bob,file_access,192.168.0.11
2025-08-23 03:36:28,charlie,config_change,192.168.0.13
2025-08-23 03:36:58,bob,config_change,192.168.0.12
2025-08-23 03:37:28,charlie,file_access,192.168.0.11
2025-08-23 03:37:58,charlie,file_access,192.168.0.10
2025-08-23 03:38:28,david,config_change,192.168.0.15
2025-08-23 03:38:58,david,config_change,192.168.0.17
2025-08-23 03:39:28,alice,file_access,192.168.0.12
2025-08-23 03:39:58,alice,login_success,192.168.0.17
2025-08-23 03:40:28,bob,login_success,192.168.0.9
2025-08-23 03:40:58,alice,login_success,192.168.0.14
2025-08-23 03:41:28,alice,config_change,192.168.0.14
2025-08-23 03:41:58,charlie,login_fail,192.168.0.6
2025-08-23 03:42:28,alice,config_change,192.168.0.4
2025-08-23 03:42:58,bob,config_change,192.168.0.4
2025-08-23 03:43:28,bob,login_fail,192.168.0.18
2025-08-23 03:43:58,david,config_change,192.168.0.10
2025-08-23 03:44:28,david,file_access,192.168.0.12
2025-08-23 03:44:58,david,login_fail,192.168.0.8
2025-08-23 03:45:28,david,login_fail,192.168.0.3
2025-08-23 03:45:58,bob,config_change,192.168.0.11
2025-08-23 03:46:28,bob,file_access,192.168.0.6
2025-08-23 03:46:58,david,config_change,192.168.0.19
2025-08-23 03:47:28,david,config_change,192.168.0.7
2025-08-23 03:47:58,alice,login_success,192.168.0.6
2025-08-23 03:48:28,bob,file_access,192.168.0.13
2025-08-23 03:48:58,david,config_change,192.168.0.14
2025-08-23 03:49:28,bob,config_change,192.168.0.14
2025-08-23 03:49:58,bob,login_success,192.168.0.1
2025-08-23 03:50:28,david,login_success,192.168.0.19
2025-08-23 03:50:58,bob,login_fail,192.168.0.4
2025-08-23 03:51:28,david,login_success,192.168.0.16
2025-08-23 03:51:58,alice,config_change,192.168.0.4
2025-08-23 03:52:28,charlie,login_fail,192.168.0.7
2025-08-23 03:52:58,bob,file_access,192.168.0.10
2025-08-23 03:53:28,charlie,login_fail,192.168.0.6
2025-08-23 03:53:58,alice,login_fail,192.168.0.2
2025-08-23 03:54:28,bob,login_fail,192.168.0.8
2025-08-23 03:54:58,alice,config_change,192.168.0.4
2025-08-23 03:55:28,david,login_success,192.168.0.15
2025-08-23 03:55:58,david,login_fail,192.168.0.6
2025-08-23 03:56:28,david,config_change,192.168.0.7
